164	175	74	142	23	82
74	155	39	84	127	175
142	93	154	95	155	67
92	28	91	42	65	157
56	119	74	68	77	110
37	185	24	140	187	152
22	68	24	49	43	158
91	35	185	130	199	196
64	95	154	56	75	84
129	186	45	114	120	69
51	144	172	166	159	170
31	71	185	116	76	163
137	54	64	81	47	88
59	111	88	78	137	66
135	72	165	84	127	124
35	157	128	145	184	173
24	87	44	94	114	160
66	32	184	118	59	186
96	166	56	105	147	111
32	141	183	63	185	103
189	67	136	73	183	151
49	200	195	182	40	126
40	25	81	130	130	26
65	191	32	100	80	179
133	124	173	137	136	187
159	42	75	74	149	118
164	88	138	163	55	98
46	99	190	82	188	120
153	158	94	139	137	29
109	33	84	86	162	107
107	32	163	99	33	112
111	196	73	55	89	116
23	89	159	195	133	96
76	147	134	28	162	193
141	148	28	96	196	148
60	68	180	128	49	95
22	88	76	45	33	124
110	102	86	76	183	120
112	124	46	104	44	86
148	71	174	58	113	102
193	93	91	58	94	70
176	51	187	197	152	27
93	137	77	133	139	195
142	167	154	27	196	146
148	52	194	87	57	70
71	95	154	170	106	101
86	104	75	42	50	199
40	55	90	173	45	30
110	130	143	48	138	123
30	150	166	78	100	151
130	57	75	151	25	30
176	104	117	125	37	25
52	59	195	40	122	36
61	200	58	100	109	197
96	37	74	94	162	120
26	152	136	190	31	118
141	73	63	152	136	25
88	193	195	110	66	191
116	55	38	130	25	177
110	169	85	87	176	172
75	90	29	196	197	50
50	107	151	192	104	126
75	141	143	171	91	53
142	111	35	137	190	53
46	191	50	65	115	72
140	78	65	146	148	89
191	52	29	98	23	151
121	78	196	47	144	175
77	117	65	34	106	125
115	31	58	86	31	121
75	116	36	138	199	196
135	160	159	192	128	89
127	81	64	92	27	45
26	23	40	198	200	139
115	38	55	86	75	101
193	30	81	105	121	79
32	110	185	145	175	25
162	94	83	61	185	132
141	193	86	129	127	83
157	44	98	113	149	91
168	127	119	163	97	168
101	66	90	189	185	170
114	67	41	192	183	159
78	156	135	99	82	194
172	33	136	177	189	71
134	42	25	53	189	41
143	187	120	68	186	22
122	109	35	56	136	100
89	172	120	68	54	64
71	176	68	67	199	182
57	107	69	131	155	107
186	166	152	192	157	104
57	144	199	30	62	168
40	68	63	128	98	53
64	73	187	81	185	125
115	178	95	189	98	138
78	182	145	99	54	128
41	130	56	129	110	93
108	66	54	158	61	121
177	106	182	137	76	61
169	50	59	61	33	99
177	158	188	95	132	106
73	74	93	168	91	173
